exchange,pairs,route,price,high,low,percentage,absolute
bitfinex,omgusd,https://api.cryptowat.ch/markets/bitfinex/omgusd,5.2,5.86,4.93,-0.08,-0.46
bitfinex,omgeth,https://api.cryptowat.ch/markets/bitfinex/omgeth,0.0,0.0,0.0,-0.04,-0.0
bitfinex,neobtc,https://api.cryptowat.ch/markets/bitfinex/neobtc,0.0,0.0,0.0,-0.06,-0.0
bitfinex,neousd,https://api.cryptowat.ch/markets/bitfinex/neousd,51.73,58.09,48.63,-0.07,-4.14
bitfinex,neoeth,https://api.cryptowat.ch/markets/bitfinex/neoeth,0.02,0.02,0.02,-0.04,-0.0
bitfinex,sanbtc,https://api.cryptowat.ch/markets/bitfinex/sanbtc,0.0,0.0,0.0,0.03,0.0
bitfinex,saneth,https://api.cryptowat.ch/markets/bitfinex/saneth,0.0,0.0,0.0,0.04,0.0
bitfinex,sanusd,https://api.cryptowat.ch/markets/bitfinex/sanusd,0.28,0.29,0.26,0.0,0.0
bitfinex,qtumusd,https://api.cryptowat.ch/markets/bitfinex/qtumusd,13.15,14.05,12.45,-0.01,-0.15
bitfinex,qtumbtc,https://api.cryptowat.ch/markets/bitfinex/qtumbtc,0.0,0.0,0.0,0.01,0.0
bitfinex,edousd,https://api.cryptowat.ch/markets/bitfinex/edousd,1.17,1.35,1.16,-0.12,-0.16
bitfinex,etpusd,https://api.cryptowat.ch/markets/bitfinex/etpusd,0.18,0.19,0.17,-0.06,-0.01
bitfinex,etpbtc,https://api.cryptowat.ch/markets/bitfinex/etpbtc,0.0,0.0,0.0,-0.04,-0.0
bitfinex,etpeth,https://api.cryptowat.ch/markets/bitfinex/etpeth,0.0,0.0,0.0,-0.01,-0.0
bitfinex,edobtc,https://api.cryptowat.ch/markets/bitfinex/edobtc,0.0,0.0,0.0,-0.09,-0.0
bitfinex,edoeth,https://api.cryptowat.ch/markets/bitfinex/edoeth,0.0,0.0,0.0,-0.06,-0.0
bitfinex,btgusd,https://api.cryptowat.ch/markets/bitfinex/btgusd,60.48,68.26,58.76,-0.08,-5.52
bitfinex,btgbtc,https://api.cryptowat.ch/markets/bitfinex/btgbtc,0.0,0.0,0.0,-0.06,-0.0
bitfinex,datausd,https://api.cryptowat.ch/markets/bitfinex/datausd,0.15,0.18,0.14,0.08,0.01
bitfinex,databtc,https://api.cryptowat.ch/markets/bitfinex/databtc,0.0,0.0,0.0,0.14,0.0
coinbase-pro,btcusd,https://api.cryptowat.ch/markets/coinbase-pro/btcusd,45186.92,47174.62,44216.47,-0.02,-905.13
coinbase-pro,btceur,https://api.cryptowat.ch/markets/coinbase-pro/btceur,38550,40086.61,37800.05,-0.02,-592.94
coinbase-pro,btcgbp,https://api.cryptowat.ch/markets/coinbase-pro/btcgbp,32845.53,34165,32200.13,-0.02,-559.96
coinbase-pro,ethusd,https://api.cryptowat.ch/markets/coinbase-pro/ethusd,3048.12,3293.15,2951,-0.04,-136.08
coinbase-pro,ethbtc,https://api.cryptowat.ch/markets/coinbase-pro/ethbtc,0.07,0.07,0.07,-0.02,-0.0
coinbase-pro,ltcusd,https://api.cryptowat.ch/markets/coinbase-pro/ltcusd,170.48,184.45,162.93,-0.05,-9.86
coinbase-pro,ltcbtc,https://api.cryptowat.ch/markets/coinbase-pro/ltcbtc,0.0,0.0,0.0,-0.04,-0.0
coinbase-pro,etheur,https://api.cryptowat.ch/markets/coinbase-pro/etheur,2599.99,2797.8,2521.55,-0.04,-104.85
coinbase-pro,ltceur,https://api.cryptowat.ch/markets/coinbase-pro/ltceur,145.21,156.76,139.23,-0.05,-7.94
bitstamp,btcusd,https://api.cryptowat.ch/markets/bitstamp/btcusd,45193.28,47183.37,44218.73,-0.02,-905.85
bitstamp,btceur,https://api.cryptowat.ch/markets/bitstamp/btceur,38555.45,40091.07,37798.9,-0.02,-596.28
bitstamp,xrpusd,https://api.cryptowat.ch/markets/bitstamp/xrpusd,1.11,1.22,1.05,-0.07,-0.08
bitstamp,xrpeur,https://api.cryptowat.ch/markets/bitstamp/xrpeur,0.95,1.04,0.9,-0.07,-0.07
bitstamp,xrpbtc,https://api.cryptowat.ch/markets/bitstamp/xrpbtc,0.0,0.0,0.0,-0.05,-0.0
bitstamp,ltcbtc,https://api.cryptowat.ch/markets/bitstamp/ltcbtc,0.0,0.0,0.0,-0.04,-0.0
bitstamp,ltcusd,https://api.cryptowat.ch/markets/bitstamp/ltcusd,170,184.47,162.95,-0.06,-10.23
bitstamp,ltceur,https://api.cryptowat.ch/markets/bitstamp/ltceur,145.05,156.73,139.29,-0.05,-8.14
bitstamp,eurusd,https://api.cryptowat.ch/markets/bitstamp/eurusd,1.17,1.18,1.17,-0.01,-0.01
bitstamp,ethusd,https://api.cryptowat.ch/markets/bitstamp/ethusd,3046.57,3293.72,2951.97,-0.04,-138.77
bitstamp,etheur,https://api.cryptowat.ch/markets/bitstamp/etheur,2600.91,2798,2521.37,-0.04,-103.59
bitstamp,ethbtc,https://api.cryptowat.ch/markets/bitstamp/ethbtc,0.07,0.07,0.07,-0.02,-0.0
kraken,btceur,https://api.cryptowat.ch/markets/kraken/btceur,38543,40088.7,37822.2,-0.02,-611.6
kraken,btcusd,https://api.cryptowat.ch/markets/kraken/btcusd,45148.7,47172.3,44250,-0.02,-939.1
kraken,btcgbp,https://api.cryptowat.ch/markets/kraken/btcgbp,32846.7,34152.9,32165,-0.02,-551.6
kraken,btcjpy,https://api.cryptowat.ch/markets/kraken/btcjpy,4964343,5141681,4854480,-0.03,-130452
kraken,btccad,https://api.cryptowat.ch/markets/kraken/btccad,56761.7,59396.4,55838.9,-0.03,-1613
kraken,ltceur,https://api.cryptowat.ch/markets/kraken/ltceur,145.3,156.7,139.4,-0.05,-7.89
kraken,ltcbtc,https://api.cryptowat.ch/markets/kraken/ltcbtc,0.0,0.0,0.0,-0.04,-0.0
